Sample,Latitude,Longitude,Date,Time,Time.out,Site,Location,Status,Depth,Observer,Successful.count,Successful.length,Video.notes,Raw.hdd.number,Con.hdd.number,Habitat.image.saved,Vis.in.metres,Habitat.classification ,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
PCPREF10,,,20210826,08:49,08:54,,Pt Cloates,,79,,,,Synced cameras with light at start - too rough,RAW1,,,,,,,,,,
PCPREF15,,,20210826,09:07,09:12,,Pt Cloates,,89,,,,"checked cameras, one light off swapped battery",RAW1,,,,,,,,,,
PCPREF9,,,20210826,09:18,09:23,,Pt Cloates,,78,,,,,RAW1,,,,,,,,,,
PCPREF8,,,20210826,09:28,09:33,,Pt Cloates,,79,,,,didn't show whiteboard,RAW1,,,,,,,,,,
PCFB24,,,20210826,09:41,09:46,,Pt Cloates,,98,,,,replaced cable tie on bridle,RAW1,,,,,,,,,,
PCFB43,,,20210826,09:52,09:58,,Pt Cloates,,87.6,,,,checked cameras,RAW1,,,,,,,,,,
PCPREF7,,,20210826,10:02,10:08,,Pt Cloates,,79,,,,"showed PCFB17 instead of PCPREF7. Bit of confusion between points PCPREF7, PCFB17 and PCFB7",RAW1,,,,,,,,,,
PCFB17,,,20210826,10:14,10:19,,Pt Cloates,,85,,,,showed PCFB17. mixup,RAW1,,,,,,,,,,
PCFB38,,,20210826,10:27,10:32,,Pt Cloates,,83,,,,"showed PCFB25, then PCFB38",RAW1,,,,,,,,,,
PCFB7,,,20210826,10:38,10:43,,Pt Cloates,,81,,,,,RAW1,,,,,,,,,,
PCFB22,,,20210826,10:47,10:53,,Pt Cloates,,78,,,,checked all cameras,RAW1,,,,,,,,,,
PCFB33,,,20210826,10:57,11:03,,Pt Cloates,,77,,,,,RAW1,,,,,,,,,,
PCPREF11,,,20210826,11:08,11:13,,Pt Cloates,,79,,,,checked all cameras and resynced with light,RAW1,,,,,,,,,,
PCFB40,,,20210826,11:20,11:25,,Pt Cloates,,89,,,,,RAW1,,,,,,,,,,
PCFB2,,,20210826,11:30,11:36,,Pt Cloates,,91,,,,,RAW1,,,,,,,,,,
PCFB12,,,20210826,11:42,11:48,,Pt Cloates,,83.9,,,,checked cameras,RAW1,,,,,,,,,,
PCFB28,,,20210826,11:51,11:57,,Pt Cloates,,80,,,,showed PCPREF1,RAW1,,,,,,,,,,
PCPREF1,,,20210826,12:03,12:08,,Pt Cloates,,81,,,,skipped and went back after PCFB28,RAW1,,,,,,,,,,
PCFB23,,,20210826,12:13,12:19,,Pt Cloates,,80,,,,,RAW1,,,,,,,,,,
PCFB46,,,20210826,12:28,12:33,,Pt Cloates,,92.7,,,,,RAW1,,,,,,,,,,
PCFB19,,,20210826,12:37,12:42,,Pt Cloates,,89,,,,,RAW1,,,,,,,,,,
PCPREF16,,,20210826,12:47,12:52,,Pt Cloates,,91.8,,,,,RAW1,,,,,,,,,,
PCFB16,,,20210826,13:00,13:05,,Pt Cloates,,79.8,,,,checked all cameras and resynced,RAW1,,,,,,,,,,
PCFB32,,,20210826,13:10,13:15,,Pt Cloates,,81.2,,,,,RAW1,,,,,,,,,,
PCFB30,,,20210826,13:21,13:27,,Pt Cloates,,81.3,,,,Showed PCFB15 then changed to PCFB30,RAW1,,,,,,,,,,
PCFB31,,,20210826,13:31,13:37,,Pt Cloates,,82.1,,,,,RAW1,,,,,,,,,,
PCFB15,,,20210826,13:42,13:47,,Pt Cloates,,88,,,,Checked all cameras. Don't think that point was added in ipad,RAW1,,,,,,,,,,
PCFB20,,,20210826,13:52,13:58,,Pt Cloates,,96.4,,,,,RAW1,,,,,,,,,,
PCFB42,,,20210826,14:03,14:08,,Pt Cloates,,82,,,,,RAW1,,,,,,,,,,
PCPREF6,,,20210826,14:12,14:18,,Pt Cloates,,81.9,,,,,RAW1,,,,,,,,,,
PCFB4.1,,,20210826,14:23,14:29,,Pt Cloates,,77.7,,,,Checked all cameras. Showed PCFB18,RAW1,,,,,,,,,,
PCFB4.2,,,20210826,14:34,14:41,,Pt Cloates,,77.5,,,,PCFB4.2 - accidentally did this point twice,RAW1,,,,,,,,,,
PCFB18,,,20210826,14:45,14:52,,Pt Cloates,,82.3,,,,Checked all cameras and resynced,RAW1,,,,,,,,,,
PCFB6,,,20210826,14:58,15:03,,Pt Cloates,,81.7,,,,,RAW1,,,,,,,,,,
PCFB36,,,20210826,15:07,15:14,,Pt Cloates,,84.4,,,,,RAW1,,,,,,,,,,
PCFB10,,,20210826,15:18,15:24,,Pt Cloates,,89.1,,,,,RAW1,,,,,,,,,,
PCFB41,,,20210826,15:29,15:37,,Pt Cloates,,90,,,,Checked all cameras,RAW1,,,,,,,,,,
PCFB3,,,20210826,15:40,15:45,,Pt Cloates,,81.9,,,,,RAW1,,,,,,,,,,
PCFB39,,,20210826,15:51,15:57,,Pt Cloates,,80.7,,,,,RAW1,,,,,,,,,,